#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    6.4000000000e+01    7.4000000000e+01    0.0000000000e+00    6.4000000000e+01    5.4000000000e+01    0.0000000000e+00
   0.5000000    6.4000000000e+01    7.3997676789e+01    5.7385654996e-24    6.4000000000e+01    5.4002323211e+01   -6.2587845567e-24
   1.0000000    6.4000000000e+01    7.3984705529e+01    1.0701649175e-23    6.4000000000e+01    5.4015294471e+01   -9.5675070069e-24
   1.5000000    6.4000000000e+01    7.3962861196e+01    1.0701649175e-23    6.4000000000e+01    5.4037138804e+01   -9.5675070069e-24
   2.0000000    6.4000000000e+01    7.3936411890e+01    1.0701649175e-23    6.4000000000e+01    5.4063588110e+01   -9.5675070069e-24
   2.5000000    6.4000000000e+01    7.3907418111e+01   -9.5177469232e-23    6.4000000000e+01    5.4092581889e+01    1.6902272595e-23
   3.0000000    6.4000000000e+01    7.3876916101e+01    6.6949930829e-23    6.4000000000e+01    5.4123083899e+01    8.3076721599e-23
   3.5000000    6.4000000000e+01    7.3846316163e+01    1.2650693493e-22    6.4000000000e+01    5.4153683837e+01    2.3196923186e-22
   4.0000000    6.4000000000e+01    7.3816998094e+01    1.2650693493e-22    6.4000000000e+01    5.4183001906e+01    2.3196923186e-22
   4.5000000    6.4000000000e+01    7.3789907783e+01    1.2650693493e-22    6.4000000000e+01    5.4210092217e+01    2.3196923186e-22
   5.0000000    6.4000000000e+01    7.3765570418e+01    1.2650693493e-22    6.4000000000e+01    5.4234429582e+01    2.3196923186e-22
   5.5000000    6.4000000000e+01    7.3743891150e+01    1.2650693493e-22    6.4000000000e+01    5.4256108850e+01    2.3196923186e-22
   6.0000000    6.4000000000e+01    7.3724892355e+01    1.2733411554e-22    6.4000000000e+01    5.4275107645e+01    2.3569154462e-22
   6.5000000    6.4000000000e+01    7.3708422166e+01    1.2485257371e-22    6.4000000000e+01    5.4291577834e+01    2.3765609857e-22
   7.0000000    6.4000000000e+01    7.3693924636e+01    1.2459407977e-22    6.4000000000e+01    5.4306075364e+01    2.3719080948e-22
   7.5000000    6.4000000000e+01    7.3681001818e+01    1.2459407977e-22    6.4000000000e+01    5.4318998182e+01    2.3724250826e-22
   8.0000000    6.4000000000e+01    7.3669415465e+01    1.2459407977e-22    6.4000000000e+01    5.4330584535e+01    2.3724250826e-22
   8.5000000    6.4000000000e+01    7.3658939540e+01    1.2459407977e-22    6.4000000000e+01    5.4341060460e+01    2.3724250826e-22
   9.0000000    6.4000000000e+01    7.3649384986e+01    1.2459407977e-22    6.4000000000e+01    5.4350615014e+01    2.3724250826e-22
   9.5000000    6.4000000000e+01    7.3640618539e+01    1.2449068219e-22    6.4000000000e+01    5.4359381461e+01    2.3703571311e-22
  10.0000000    6.4000000000e+01    7.3632518683e+01    1.2438728461e-22    6.4000000000e+01    5.4367481317e+01    2.3755270099e-22
  10.5000000    6.4000000000e+01    7.3624965851e+01    1.2387029673e-22    6.4000000000e+01    5.4375034149e+01    2.3743637872e-22
  11.0000000    6.4000000000e+01    7.3617848756e+01    1.2333392180e-22    6.4000000000e+01    5.4382151244e+01    2.3742749299e-22
  11.5000000    6.4000000000e+01    7.3611119280e+01    1.2302372907e-22    6.4000000000e+01    5.4388880720e+01    2.3773768572e-22
  12.0000000    6.4000000000e+01    7.3605001417e+01    1.2308512138e-22    6.4000000000e+01    5.4394998583e+01    2.3768598693e-22
  12.5000000    6.4000000000e+01    7.3599268069e+01    1.2331130358e-22    6.4000000000e+01    5.4400731931e+01    2.3787985739e-22
  13.0000000    6.4000000000e+01    7.3593649481e+01    1.2341470116e-22    6.4000000000e+01    5.4406350519e+01    2.3787985739e-22
  13.5000000    6.4000000000e+01    7.3588229340e+01    1.2341470116e-22    6.4000000000e+01    5.4411770660e+01    2.3787985739e-22
  14.0000000    6.4000000000e+01    7.3583165874e+01    1.2341470116e-22    6.4000000000e+01    5.4416834126e+01    2.3785400799e-22
  14.5000000    6.4000000000e+01    7.3578404764e+01    1.2341470116e-22    6.4000000000e+01    5.4421595236e+01    2.3782815860e-22
  15.0000000    6.4000000000e+01    7.3573848947e+01    1.2341470116e-22    6.4000000000e+01    5.4426151053e+01    2.3782815860e-22
  15.5000000    6.4000000000e+01    7.3569499233e+01    1.2341470116e-22    6.4000000000e+01    5.4430500767e+01    2.3782815860e-22
  16.0000000    6.4000000000e+01    7.3565376318e+01    1.2341470116e-22    6.4000000000e+01    5.4434623682e+01    2.3782815860e-22
  16.5000000    6.4000000000e+01    7.3561586421e+01    1.2341470116e-22    6.4000000000e+01    5.4438413579e+01    2.3782815860e-22
  17.0000000    6.4000000000e+01    7.3558341001e+01    1.2341470116e-22    6.4000000000e+01    5.4441658999e+01    2.3782815860e-22
  17.5000000    6.4000000000e+01    7.3555718650e+01    1.2341470116e-22    6.4000000000e+01    5.4444281350e+01    2.3782815860e-22
  18.0000000    6.4000000000e+01    7.3553798793e+01    1.2341470116e-22    6.4000000000e+01    5.4446201207e+01    2.3782815860e-22
  18.5000000    6.4000000000e+01    7.3552377757e+01    1.2341470116e-22    6.4000000000e+01    5.4447622243e+01    2.3782815860e-22
  19.0000000    6.4000000000e+01    7.3550658637e+01    1.2341470116e-22    6.4000000000e+01    5.4449341363e+01    2.3782815860e-22
  19.5000000    6.4000000000e+01    7.3547686172e+01    1.2341470116e-22    6.4000000000e+01    5.4452313828e+01    2.3782815860e-22
  20.0000000    6.4000000000e+01    7.3543210484e+01    1.2341470116e-22    6.4000000000e+01    5.4456789516e+01    2.3782815860e-22
  20.5000000    6.4000000000e+01    7.3538002241e+01    1.2341470116e-22    6.4000000000e+01    5.4461997759e+01    2.3782815860e-22
  21.0000000    6.4000000000e+01    7.3533128555e+01    1.2341470116e-22    6.4000000000e+01    5.4466871445e+01    2.3782815860e-22
  21.5000000    6.4000000000e+01    7.3529099505e+01    1.2341470116e-22    6.4000000000e+01    5.4470900495e+01    2.3782815860e-22
  22.0000000    6.4000000000e+01    7.3525724741e+01    1.2341470116e-22    6.4000000000e+01    5.4474275259e+01    2.3782815860e-22
  22.5000000    6.4000000000e+01    7.3522637160e+01    1.2341470116e-22    6.4000000000e+01    5.4477362840e+01    2.3782815860e-22
  23.0000000    6.4000000000e+01    7.3519624254e+01    1.2341470116e-22    6.4000000000e+01    5.4480375746e+01    2.3782815860e-22
  23.5000000    6.4000000000e+01    7.3516632456e+01    1.2341470116e-22    6.4000000000e+01    5.4483367544e+01    2.3782815860e-22
  24.0000000    6.4000000000e+01    7.3513650989e+01    1.2341470116e-22    6.4000000000e+01    5.4486349011e+01    2.3782815860e-22
  24.5000000    6.4000000000e+01    7.3510652072e+01    1.2341470116e-22    6.4000000000e+01    5.4489347928e+01    2.3782815860e-22
